Location,URL
Benwell,"<a href=""https://t.co/eDvTiZndGB"">https://t.co/eDvTiZndGB</a>"
Blyth,"<a href=""https://t.co/Gu9loSWTrn"">https://t.co/Gu9loSWTrn</a>"
East Hartford,"<a href=""https://t.co/GDxJeAKVy0"">https://t.co/GDxJeAKVy0</a>"
Hexham,"<a href=""https://t.co/FzvWpF1YFg"">https://t.co/FzvWpF1YFg</a>"
Newcastle,"<a href=""https://t.co/jGDOHtOT8U"">https://t.co/jGDOHtOT8U</a>"
Newcastle,"<a href=""https://t.co/bhpMxGJrr8"">https://t.co/bhpMxGJrr8</a>"
Newcastle,"<a href=""https://t.co/Mq9x30bI1U"">https://t.co/Mq9x30bI1U</a>"
Newcastle,"<a href=""https://t.co/lknmhSlRK4"">https://t.co/lknmhSlRK4</a>"
Newcastle,"<a href=""https://t.co/5ftwNcmNtV"">https://t.co/5ftwNcmNtV</a>"
Newcastle,"<a href=""https://t.co/tDByQJZhH7"">https://t.co/tDByQJZhH7</a>"
Newcastle,"<a href=""https://t.co/tXKfhsM6SN"">https://t.co/tXKfhsM6SN</a>"
Northumberland,"<a href=""https://t.co/hCMgdz8sjs"">https://t.co/hCMgdz8sjs</a>"
Rothbury,"<a href=""https://t.co/1RUq3HbctA"">https://t.co/1RUq3HbctA</a>"
South Tyneside,"<a href=""https://t.co/jg1sHBzPZ7"">https://t.co/jg1sHBzPZ7</a>"
Wansbeck,"<a href=""https://t.co/lZr9qYNlaV"">https://t.co/lZr9qYNlaV</a>"
