Location,URL
Burton,"<a href=""https://t.co/wkfX5HPvfe"">https://t.co/wkfX5HPvfe</a>"
Burton,"<a href=""https://t.co/vUc6DcY7fv"">https://t.co/vUc6DcY7fv</a>"
Burton,"<a href=""https://t.co/vUc6DcY7fv"">https://t.co/vUc6DcY7fv</a>"
Darlaston,"<a href=""https://t.co/baACkGV5PD"">https://t.co/baACkGV5PD</a>"
Leek,"<a href=""https://t.co/6tSinD4PZE"">https://t.co/6tSinD4PZE</a>"
Lichfield,"<a href=""https://t.co/Y4sXrMmDha"">https://t.co/Y4sXrMmDha</a>"
Lichfield,"<a href=""https://t.co/1IcZYIgw4Y"">https://t.co/1IcZYIgw4Y</a>"
Northfield,"<a href=""https://t.co/zrOzVuF87D"">https://t.co/zrOzVuF87D</a>"
Stafford,"<a href=""https://t.co/RWnIRznmys"">https://t.co/RWnIRznmys</a>"
Staffordshire,"<a href=""https://t.co/sbuvmRUUzm"">https://t.co/sbuvmRUUzm</a>"
Staffordshire,"<a href=""https://t.co/vUc6DcY7fv"">https://t.co/vUc6DcY7fv</a>"
Staffordshire,"<a href=""https://t.co/z6bbrfQ0qZ"">https://t.co/z6bbrfQ0qZ</a>"
Stoke-on-Trent,"<a href=""https://t.co/jA69JnBS4C"">https://t.co/jA69JnBS4C</a>"
Stoke-on-Trent,"<a href=""https://t.co/kFxcDZmc6b"">https://t.co/kFxcDZmc6b</a>"
Stratford Upon Avon,"<a href=""https://t.co/W6B6bU9eaB"">https://t.co/W6B6bU9eaB</a>"
Tamworth,"<a href=""https://t.co/JvcjTRa1ji"">https://t.co/JvcjTRa1ji</a>"
Walsall,"<a href=""https://t.co/YQRSuVTju0"">https://t.co/YQRSuVTju0</a>"
Weoley Castle,"<a href=""https://t.co/2G7w3L3pgf"">https://t.co/2G7w3L3pgf</a>"
Wolverhampton,"<a href=""https://t.co/uEAa4ImbBB"">https://t.co/uEAa4ImbBB</a>"
