Location,URL
Barkisland,"<a href=""https://t.co/i0drMQAhG7"">https://t.co/i0drMQAhG7</a>"
Beverley,"<a href=""https://t.co/WcP3LCbnfo"">https://t.co/WcP3LCbnfo</a>"
Bingley,"<a href=""https://t.co/abEXbTiqgk"">https://t.co/abEXbTiqgk</a>"
Bradford,"<a href=""https://t.co/iEQwKMFwm3"">https://t.co/iEQwKMFwm3</a>"
Bradford,"<a href=""https://t.co/fmy6GL34QP"">https://t.co/fmy6GL34QP</a>"
Bradford,"<a href=""https://t.co/KfIkqZxSjX"">https://t.co/KfIkqZxSjX</a>"
Bradford,"<a href=""https://t.co/b0oJd0jrlm"">https://t.co/b0oJd0jrlm</a>"
Bridlington,"<a href=""https://t.co/tejfbFhaIV"">https://t.co/tejfbFhaIV</a>"
Cottingham,"<a href=""https://t.co/JBbTiasQq4"">https://t.co/JBbTiasQq4</a>"
Filey,"<a href=""https://t.co/tMBq01UMgi"">https://t.co/tMBq01UMgi</a>"
Goole,"<a href=""https://t.co/sSqCNVLXEg"">https://t.co/sSqCNVLXEg</a>"
Goole,"<a href=""https://t.co/sSqCNVLXEg"">https://t.co/sSqCNVLXEg</a>"
Guiseley,"<a href=""https://t.co/wrSfJlonzg"">https://t.co/wrSfJlonzg</a>"
Halifax,"<a href=""https://t.co/4LfgtBIm96"">https://t.co/4LfgtBIm96</a>"
Harrogate,"<a href=""https://t.co/qhVkfkMy2s"">https://t.co/qhVkfkMy2s</a>"
Harrogate,"<a href=""https://t.co/tXjrWDn7V5"">https://t.co/tXjrWDn7V5</a>"
Harrogate,"<a href=""https://t.co/FSNWPs2KTo"">https://t.co/FSNWPs2KTo</a>"
Heeley,"<a href=""https://t.co/ABxN0VJY3z"">https://t.co/ABxN0VJY3z</a>"
Howden,"<a href=""https://t.co/GpfQV9aXFB"">https://t.co/GpfQV9aXFB</a>"
Huddersfield,"<a href=""https://t.co/7hzmsTwTYX"">https://t.co/7hzmsTwTYX</a>"
Huddersfield,"<a href=""https://t.co/BT28PsFqGP"">https://t.co/BT28PsFqGP</a>"
Huddersfield,"<a href=""https://t.co/gUjpZ8Lmwa"">https://t.co/gUjpZ8Lmwa</a>"
Hull,"<a href=""https://t.co/YPR9VYRAts"">https://t.co/YPR9VYRAts</a>"
Hull,"<a href=""https://t.co/DMFHiPeON6"">https://t.co/DMFHiPeON6</a>"
